ds_nome;area_construida_vertical_2013;area_construida_vertical_2023;delta_pde
AGUA RASA;1622759.0;2108421.0;485662.0
ALTO DE PINHEIROS;2065880.0;2243481.0;177601.0
ANHANGUERA;0.0;1377.0;1377.0
ARICANDUVA;322938.0;640265.0;317327.0
ARTUR ALVIM;581546.0;657230.0;75684.0
BARRA FUNDA;1083697.0;2183851.0;1100154.0
BELA VISTA;3114164.0;3352451.0;238287.0
BELEM;838233.0;1433676.0;595443.0
BOM RETIRO;624324.0;847145.0;222821.0
BRAS;585703.0;1155066.0;569363.0
BRASILANDIA;173987.0;344612.0;170625.0
BUTANTA;1044852.0;1246792.0;201940.0
CACHOEIRINHA;695249.0;947829.0;252580.0
CAMBUCI;851095.0;1385692.0;534597.0
CAMPO BELO;3520103.0;4363386.0;843283.0
CAMPO GRANDE;2518790.0;3237941.0;719151.0
CAMPO LIMPO;1118019.0;2070335.0;952316.0
CANGAIBA;457277.0;735892.0;278615.0
CAPAO REDONDO;666842.0;901367.0;234525.0
CARRAO;1546872.0;1935965.0;389093.0
CASA VERDE;866357.0;1233574.0;367217.0
CIDADE ADEMAR;778140.0;1140953.0;362813.0
CIDADE DUTRA;393852.0;497770.0;103918.0
CIDADE LIDER;413396.0;672643.0;259247.0
CIDADE TIRADENTES;1252176.0;1451172.0;198996.0
CONSOLACAO;3768234.0;4140790.0;372556.0
CURSINO;1939222.0;2386119.0;446897.0
ERMELINO MATARAZZO;215999.0;384329.0;168330.0
FREGUESIA DO O;1148107.0;1561191.0;413084.0
GRAJAU;136889.0;215845.0;78956.0
GUAIANASES;296783.0;451236.0;154453.0
IGUATEMI;793.0;134170.0;133377.0
IPIRANGA;2409228.0;3170871.0;761643.0
ITAIM BIBI;6841079.0;8979309.0;2138230.0
ITAIM PAULISTA;230493.0;582118.0;351625.0
ITAQUERA;880750.0;1273908.0;393158.0
JABAQUARA;3135846.0;3735667.0;599821.0
JACANA;190511.0;318773.0;128262.0
JAGUARA;61618.0;173537.0;111919.0
JAGUARE;550831.0;867235.0;316404.0
JARAGUA;479032.0;1486679.0;1007647.0
JARDIM ANGELA;63972.0;169775.0;105803.0
JARDIM HELENA;46030.0;93260.0;47230.0
JARDIM PAULISTA;7467053.0;7938371.0;471318.0
JARDIM SAO LUIS;729728.0;1157017.0;427289.0
JOSE BONIFACIO;1086822.0;1640119.0;553297.0
LAJEADO;249787.0;419223.0;169436.0
LAPA;2294538.0;3575770.0;1281232.0
LIBERDADE;2990348.0;3437938.0;447590.0
LIMAO;686168.0;906620.0;220452.0
MANDAQUI;1709326.0;2013366.0;304040.0
MARSILAC;0.0;0.0;0.0
MOEMA;7775535.0;8524335.0;748800.0
MOOCA;2946249.0;3650311.0;704062.0
MORUMBI;2321649.0;2545517.0;223868.0
PARELHEIROS;200.0;15504.0;15304.0
PARI;204370.0;306761.0;102391.0
PARQUE DO CARMO;124841.0;373150.0;248309.0
PEDREIRA;78627.0;106384.0;27757.0
PENHA;929926.0;1397285.0;467359.0
PERDIZES;6049782.0;6747523.0;697741.0
PERUS;64293.0;168527.0;104234.0
PINHEIROS;3738410.0;4800743.0;1062333.0
PIRITUBA;991240.0;1894712.0;903472.0
PONTE RASA;268827.0;328687.0;59860.0
RAPOSO TAVARES;438359.0;1246795.0;808436.0
REPUBLICA;1973378.0;2530622.0;557244.0
RIO PEQUENO;1702318.0;1950856.0;248538.0
SACOMA;2405409.0;3270762.0;865353.0
SANTA CECILIA;3921583.0;4551993.0;630410.0
SANTANA;4418586.0;5355767.0;937181.0
SANTO AMARO;2813925.0;4155376.0;1341451.0
SAO DOMINGOS;370922.0;459900.0;88978.0
SAO LUCAS;1186381.0;1546710.0;360329.0
SAO MATEUS;345737.0;783715.0;437978.0
SAO MIGUEL;97719.0;138211.0;40492.0
SAO RAFAEL;50772.0;88208.0;37436.0
SAPOPEMBA;487151.0;884754.0;397603.0
SAUDE;4431566.0;5478540.0;1046974.0
SE;571944.0;704135.0;132191.0
SOCORRO;304418.0;471177.0;166759.0
TATUAPE;3617143.0;4943309.0;1326166.0
TREMEMBE;273239.0;379808.0;106569.0
TUCURUVI;974171.0;1643370.0;669199.0
VILA ANDRADE;6080515.0;8199308.0;2118793.0
VILA CURUCA;177870.0;414201.0;236331.0
VILA FORMOSA;1610842.0;2337554.0;726712.0
VILA GUILHERME;694394.0;1010552.0;316158.0
VILA JACUI;156249.0;416815.0;260566.0
VILA LEOPOLDINA;1776631.0;2445568.0;668937.0
VILA MARIA;627717.0;1023425.0;395708.0
VILA MARIANA;7255968.0;8508510.0;1252542.0
VILA MATILDE;520274.0;862138.0;341864.0
VILA MEDEIROS;252836.0;440271.0;187435.0
VILA PRUDENTE;1373230.0;2079668.0;706438.0
VILA SONIA;2774772.0;3639685.0;864913.0
