percent_empregos_destino;ds_nome;delta_pde
0.3691733346420823;AGUA RASA;485662.0
0.5632483448094225;ALTO DE PINHEIROS;177601.0
0.1994210723435044;ANHANGUERA;1377.0
0.1453921661155143;ARICANDUVA;317327.0
0.2340904546667914;ARTUR ALVIM;75684.0
0.6431221765906721;BARRA FUNDA;1100154.0
0.7738444429756163;BELA VISTA;238287.0
0.5800374915188182;BELEM;595443.0
0.544604663595492;BOM RETIRO;222821.0
0.5263421294850203;BRAS;569363.0
0.2021267022492708;BRASILANDIA;170625.0
0.5404835037928851;BUTANTA;201940.0
0.0878579874605368;CACHOEIRINHA;252580.0
0.5832520731642667;CAMBUCI;534597.0
0.7169712359330774;CAMPO BELO;843283.0
0.2382175873212036;CAMPO GRANDE;719151.0
0.1481581362169294;CAMPO LIMPO;952316.0
0.199914768124357;CANGAIBA;278615.0
0.1059302538580749;CAPAO REDONDO;234525.0
0.2123996475441725;CARRAO;389093.0
0.3190333666169886;CASA VERDE;367217.0
0.2722850429104418;CIDADE ADEMAR;362813.0
0.1463671442201551;CIDADE DUTRA;103918.0
0.1654932231699578;CIDADE LIDER;259247.0
0.0218454176298936;CIDADE TIRADENTES;198996.0
0.783376035025952;CONSOLACAO;372556.0
0.4835219633094899;CURSINO;446897.0
0.1152551348624953;ERMELINO MATARAZZO;168330.0
0.2728775426133278;FREGUESIA DO O;413084.0
0.0428580542053568;GRAJAU;78956.0
0.0400854635935068;GUAIANASES;154453.0
0.0479341866571595;IGUATEMI;133377.0
0.519836578456879;IPIRANGA;761643.0
0.7888624592195422;ITAIM BIBI;2138230.0
0.0883612901777275;ITAIM PAULISTA;351625.0
0.1072994401818702;ITAQUERA;393158.0
0.6597382185408166;JABAQUARA;599821.0
0.2949035490577474;JACANA;128262.0
0.2017023779038439;JAGUARA;111919.0
0.4160865234508724;JAGUARE;316404.0
0.1541826208074936;JARAGUA;1007647.0
0.0305203012375422;JARDIM ANGELA;105803.0
0.0695659489013887;JARDIM HELENA;47230.0
0.7561839075612646;JARDIM PAULISTA;471318.0
0.1705687079631312;JARDIM SAO LUIS;427289.0
0.0530373048851913;JOSE BONIFACIO;553297.0
0.0376322766291047;LAJEADO;169436.0
0.663064485318818;LAPA;1281232.0
0.6847674180502222;LIBERDADE;447590.0
0.2990064304945879;LIMAO;220452.0
0.141227829070941;MANDAQUI;304040.0
0.0687793315148277;MARSILAC;0.0
0.7931164969843009;MOEMA;748800.0
0.3847430480952365;MOOCA;704062.0
0.6728878116007082;MORUMBI;223868.0
0.0170060763692427;PARELHEIROS;15304.0
0.4402550925847783;PARI;102391.0
0.1590551006013539;PARQUE DO CARMO;248309.0
0.1094712194717553;PEDREIRA;27757.0
0.4265538382966938;PENHA;467359.0
0.7711379135439753;PERDIZES;697741.0
0.0391272886321984;PERUS;104234.0
0.7543149446617056;PINHEIROS;1062333.0
0.2629839813511723;PIRITUBA;903472.0
0.1799986176086354;PONTE RASA;59860.0
0.1127748901597944;RAPOSO TAVARES;808436.0
0.6896665957720323;REPUBLICA;557244.0
0.399635382584005;RIO PEQUENO;248538.0
0.3201988643018073;SACOMA;865353.0
0.6172938742755696;SANTA CECILIA;630410.0
0.5770494104885199;SANTANA;937181.0
0.5877995002881883;SANTO AMARO;1341451.0
0.2160389133453973;SAO DOMINGOS;88978.0
0.186258777978267;SAO LUCAS;360329.0
0.1039005996563297;SAO MATEUS;437978.0
0.0658754101253287;SAO MIGUEL;40492.0
0.079076240179021;SAO RAFAEL;37436.0
0.1712270529600165;SAPOPEMBA;397603.0
0.6969147593809647;SAUDE;1046974.0
0.5597722170207624;SE;132191.0
0.2579476439240492;SOCORRO;166759.0
0.6188987363784325;TATUAPE;1326166.0
0.1169549868976854;TREMEMBE;106569.0
0.3388755401248075;TUCURUVI;669199.0
0.4339285831866579;VILA ANDRADE;2118793.0
0.0415219344527005;VILA CURUCA;236331.0
0.329581494867358;VILA FORMOSA;726712.0
0.3063423158667827;VILA GUILHERME;316158.0
0.1104731473715898;VILA JACUI;260566.0
0.7045154651705537;VILA LEOPOLDINA;668937.0
0.3536236986064426;VILA MARIA;395708.0
0.7572713623812284;VILA MARIANA;1252542.0
0.3199946359473049;VILA MATILDE;341864.0
0.1880995317464081;VILA MEDEIROS;187435.0
0.6092405990281001;VILA PRUDENTE;706438.0
0.5579547070012132;VILA SONIA;864913.0
